21000,52000,0
18000,52000,0
19000,40000,0
18000,52000,0
21000,32000,0
21000,50000,0
21000,30000,0
22000,48000,0
21000,46000,0
15000,46000,0
23000,34000,0
19000,32000,0
22000,36000,0
26000,46000,0
26000,48000,0
17000,44000,0
22000,42000,0
21000,40000,0
18000,38000,0
17000,40000,0
22000,44000,0
20000,32000,0
19000,48000,0
17000,32000,0
22000,40000,0
21000,32000,0
22000,42000,0
25000,38000,0
21000,52000,0
22000,42000,0
24000,42000,0
16000,40000,0
16000,30000,0
19000,42000,0
16000,42000,0
21000,46000,0
22000,46000,0
21000,44000,0
44000,82000,1
37000,70000,1
41000,68000,1
39000,72000,1
37000,74000,1
39000,88000,1
41000,84000,1
41000,84000,1
42000,80000,1
42000,72000,1
45000,80000,1
41000,74000,1
33000,78000,1
43000,84000,1
36000,72000,1
45000,68000,1
36000,74000,1
41000,72000,1
36000,78000,1
38000,78000,1
37000,84000,1
40000,78000,1
44000,78000,1
38000,70000,1
38000,80000,1
38000,80000,1
33000,78000,1
38000,72000,1
43000,88000,1
41000,74000,1
43000,86000,1
37000,76000,1
45000,86000,1
41000,68000,1
35000,84000,1
37000,86000,1
38000,86000,1
44000,90000,1
39000,80000,1
